Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDE)
2017 191  5970   4208829.961   2334850.393   4171267.336      6.512   2.282   0.163   2.445  12.629
2017 191  6000   4208829.972   2334850.408   4171267.341      6.620   2.282   0.161   2.444  12.635
2017 191  6030   4208829.985   2334850.418   4171267.347      6.619   2.282   0.160   2.443  12.643
2017 191  6060   4208829.988   2334850.419   4171267.350      6.747   2.282   0.160   2.442  12.645
2017 191  6090   4208829.995   2334850.427   4171267.354      6.596   2.282   0.158   2.441  12.645
2017 191  6120   4208829.997   2334850.434   4171267.357      6.610   2.282   0.157   2.440  12.642
2017 191  6150   4208830.005   2334850.440   4171267.360      6.464   2.282   0.156   2.438  12.641
2017 191  6180   4208830.012   2334850.443   4171267.363      6.507   2.282   0.156   2.438  12.640
2017 191  6210   4208830.010   2334850.443   4171267.363      6.335   2.282   0.156   2.438  12.636
2017 191  6240   4208830.011   2334850.440   4171267.363      6.814   2.282   0.156   2.438  12.637
2017 191  6270   4208830.012   2334850.441   4171267.365      7.377   2.282   0.156   2.438  12.640
2017 191  6300   4208830.013   2334850.445   4171267.366      7.370   2.282   0.155   2.438  12.645
2017 191  6330   4208830.013   2334850.445   4171267.367      7.334   2.282   0.155   2.438  12.649
2017 191  6360   4208830.013   2334850.441   4171267.367      6.854   2.282   0.155   2.438  12.652
2017 191  6390   4208830.016   2334850.438   4171267.368      6.604   2.282   0.155   2.438  12.653
2017 191  6420   4208830.019   2334850.434   4171267.370      6.158   2.282   0.155   2.438  12.654
2017 191  6450   4208830.019   2334850.432   4171267.371      6.343   2.282   0.155   2.438  12.654
2017 191  6480   4208830.017   2334850.426   4171267.372      6.020   2.282   0.155   2.438  12.655
2017 191  6510   4208830.020   2334850.425   4171267.375      6.610   2.282   0.155   2.438  12.660
2017 191  6540   4208830.022   2334850.432   4171267.378      6.571   2.282   0.155   2.437  12.664
2017 191  6570   4208830.024   2334850.437   4171267.380      7.505   2.282   0.155   2.437  12.669
2017 191  6600   4208830.020   2334850.446   4171267.380      6.626   2.282   0.154   2.437  12.670
2017 191  6630   4208830.019   2334850.455   4171267.379      7.191   2.282   0.154   2.437  12.671
2017 191  6660   4208830.019   2334850.459   4171267.380      7.098   2.282   0.154   2.437  12.671
2017 191  6690   4208830.017   2334850.467   4171267.379      7.790   2.282   0.154   2.436  12.667
2017 191  6720   4208830.014   2334850.472   4171267.379      7.131   2.282   0.154   2.436  12.660
2017 191  6750   4208830.009   2334850.475   4171267.377      7.711   2.282   0.154   2.436  12.652
2017 191  6780   4208830.012   2334850.481   4171267.378      6.695   2.282   0.154   2.436  12.650
2017 191  6810   4208830.012   2334850.482   4171267.378      7.072   2.282   0.154   2.437  12.650
2017 191  6840   4208830.013   2334850.481   4171267.378      7.103   2.282   0.154   2.437  12.651
2017 191  6870   4208830.014   2334850.482   4171267.377      6.722   2.282   0.155   2.437  12.653
2017 191  6900   4208830.014   2334850.477   4171267.377      6.901   2.282   0.155   2.437  12.655
2017 191  6930   4208830.014   2334850.476   4171267.376      7.078   2.282   0.155   2.438  12.657
2017 191  6960   4208830.020   2334850.473   4171267.377      7.283   2.282   0.155   2.438  12.662
2017 191  6990   4208830.018   2334850.468   4171267.376      7.476   2.282   0.156   2.438  12.662
